DateRecorded,VehicleUsed,Event,EnemyVehicle,Distance,OrientationInSight,EnemySpeed,SelfSpeed
2021-07-13, Centurion Mk. 10,k,IS-3,.74,Diag,0,-4
2021-07-13, Centurion Mk. 10,k,T-54 (1949),1.12,Diag,0,0
2021-07-13, Centurion Mk. 10,k,T-54 (1947),1.28,Para,0,0
2021-07-13, Centurion Mk. 10,k,IS-3,.36,Para,0,0
2021-07-13, Centurion Mk. 10,kb,IS-4M,.1,Diag,15,0
2021-07-13, Centurion Mk. 10,k,T-54 (1947),1.59,Diag,9,0
2021-07-13, Centurion Mk. 10,k,Type 62,1.12,Diag,0,0
2021-07-13, Centurion Mk. 10,kb,SU-100P,.1,Diag,20,0
2021-07-13, Centurion Mk. 10,kb,PT-76B,.4,Diag,0,0
2021-07-13, Centurion Mk. 10,k,IS-4M,1.19,Diag,0,0
2021-07-13, Centurion Mk. 10,k,T-54 (1947),.56,Diag,1,0
2021-07-13, Centurion Mk. 10,k,T-54 (1949),1.06,Diag,29,0
2021-07-13, Centurion Mk. 10,kb,IS-4M,.2,Diag,0,0
2021-07-09, Centurion Mk. 10,k,T-54 (1947),.59,Near-Perp,0,0
2021-07-09, Centurion Mk. 10,k,T-54 (1947),1.17,Diag,0,0
2021-07-09, Centurion Mk. 10,k,T-44-100,.85,Diag,38,0
2021-07-09, Centurion Mk. 10,k,T-54 (1949),Near-Para,1.10,Diag,0
2021-07-09, Centurion Mk. 10,k,T-44,1.51,Near-Perp,0,0
2021-07-09, Centurion Mk. 10,kb,IS-4M,.42,Diag,0,0
2021-07-09, Centurion Mk. 10,k,T-54 (1947),.08,Diag,15,0
2021-07-09, Centurion Mk. 10,k,T-54 (1949),.9,Diag,4,0
2021-07-09, Centurion Mk. 10,kb,IS-3,0.04,Diag,0,0
2021-07-07, Centurion Mk. 10,k,T-54 (1951),.15,Diag,0,0
2021-07-07, Centurion Mk. 10,k,ASU-85,.82,Near-Perp,0,0
2021-07-07, Centurion Mk. 10,k,ZSU-57-2,.72,Diag,0,0
2021-07-07, Centurion Mk. 10,k,PT-76B,1.37,Diag,23,0
2021-07-07, Centurion Mk. 10,kb,ZSU-57-2,0.04,Diag,0,0
2021-07-05, Centurion Mk. 10,k,T-54 (1949),.95,Near-Para,0,0
2021-07-05, Centurion Mk. 10,k,Obj 268,.9,Diag,0,0
2021-07-05, Centurion Mk. 10,k,ASU-85,.9,Diag,0,0
2021-07-05, Centurion Mk. 10,k,SU-100,.94,Perp,0,0
2021-07-05, Centurion Mk. 10,k,T-54 (1949),.53,Diag,0,0
2021-07-05, Centurion Mk. 10,k,Type 62,.66,Para,-8,0
2021-07-05, Centurion Mk. 10,kb,T-54 (1947),0.01,Near-Para,0,-4
2021-07-05, Centurion Mk. 10,k,T-54 (1949),1.28,Diag,0,0
2021-07-05, Centurion Mk. 10,k,T-54 (1947),.25,Diag,10,0
2021-07-05, Centurion Mk. 10,k,T-54 (1949),.38,Diag,11,2
2021-07-05, Centurion Mk. 10,k,ASU-85,1.21,Near-Perp,0,0
2021-07-05, Centurion Mk. 10,k,T-44-100,.03,Diag,0,-5
2021-07-05, Centurion Mk. 10,k,SU-100,.72,Diag,12,0
2021-07-05, Centurion Mk. 10,k,T-54 (1949),1.02,Perp,0,0
2021-07-05, Centurion Mk. 10,kb,T-44-100,.01,Near-Para,12,0
2021-07-05, Centurion Mk. 10,kb,T-44-100,0.01,Near-Para,0,0
2021-07-05, Centurion Mk. 10,k,T-54 (1947),1.23,Diag,0,0
2021-07-05, Centurion Mk. 10,k,IS-6,1.32,Para,0,0
2021-07-05, Centurion Mk. 10,k,T-54 (1947),.44,Diag,9,0
2021-07-01, Centurion Mk. 10,K,SU-100,1.05,Perp,0,0
2021-07-01, Centurion Mk. 10,kb,T-54 (1947),.74,Diag,0,14
2021-07-01, Centurion Mk. 10,k,T-54 (1947),.94,Diag,30,0
2021-07-01, Centurion Mk. 10,k,T-54 (1949),.15,Near-Perp,0,0
2021-07-01, Centurion Mk. 10,k,T-54 (1947),.27,Near-Para,0,11
2021-07-01, Centurion Mk. 10,kb,T-54 (1947),0.06,Near-Para,0,0
2021-06-23, Centurion Mk. 10,kb,T-54 (1949),.8,Near-Para,0,0
2021-06-23, Centurion Mk. 10,k,T-54 (1949),.48,Near-Para,18,0
2021-06-23, Centurion Mk. 10,kb,T-44-100,.11,Near-Perp,0,0
2021-06-23, Centurion Mk. 10,k,Obj 268,.1,Diag,-4,0
2021-06-23, Centurion Mk. 10,k,IS-4M,.27,Diag,0,0
2021-06-23, Centurion Mk. 10,k,T-54 (1949),.87,Diag,0,0
2021-06-23, Centurion Mk. 10,k,T-54 (1947),1.07,Diag,0,0
2021-06-23, Centurion Mk. 10,kb,IS-3,.95,Diag,0,0
2021-06-20, Centurion Mk. 10,k,T-54 (1951),.47,Diag,0,0
2021-06-20, Centurion Mk. 10,k,T-54 (1949),.92,Near-Perp,23,0
2021-06-20, Centurion Mk. 10,k,IS-6,1.05,Near-Perp,0,0
2021-06-20, Centurion Mk. 10,k,PT-76B,.4,Diag,0,0
2021-06-19, Centurion Mk. 10,kb,T-54 (1949),.05,Diag,0,0
2021-06-19, Centurion Mk. 10,k,IS-6,.73,Diag,0,0
2021-06-19, Centurion Mk. 10,k,IS-6,.82,Para,0,0
2021-06-19, Centurion Mk. 10,kb,T-54 (1949),1.13,Near-Perp,0,25
2021-06-19, Centurion Mk. 10,k,T-54 (1949),.51,Near-Perp,27,0
2021-06-19, Centurion Mk. 10,k,T-54 (1947),.31,Perp,38,-2
2021-06-19, Centurion Mk. 10,k,IS-3,.4,Diag,-4,0
2021-06-19, Centurion Mk. 10,k,T-54 (1949),.93,Perp,15,0
2021-06-19, Centurion Mk. 10,k,T-54 (1949),.97,Diag,0,0
2021-06-19, Centurion Mk. 10,k,T-54 (1949),.93,Para,0,0
2021-06-19, Centurion Mk. 10,k,T-44-100,1.18,Diag,26,0
2021-06-19, Centurion Mk. 10,k,T-44-100,1.33,Diag,0,0
2021-06-15, Centurion Mk. 10,k,T-54 (1949),.2,Near-Para,0,0
2021-06-15, Centurion Mk. 10,k,T-44-100,0.04,Para,0,0
2021-06-15, Centurion Mk. 10,kb,T-54 (1947),0.01,Near-Para,5,0
2021-06-15, Centurion Mk. 10,kb,IS-3,0.01,Near-Perp,0,0
2021-06-15, Centurion Mk. 10,kb,T-54 (1947),.8,Near-Perp,0,13
2021-06-15, Centurion Mk. 10,k,T-54 (1949),1.09,Near-Para,0,0
2021-06-15, Centurion Mk. 10,k,IS-3,1.81,Near-Para,0,0
2021-06-15, Centurion Mk. 10,k,ASU-85,1.49,Para,0,0
2021-06-15, Centurion Mk. 10,k,IS-4M,1.13,Diag,0,23
2021-06-15, Centurion Mk. 10,k,T-54 (1949),1.08,Para,0,0
2021-06-15, Centurion Mk. 10,kb,T-54 (1947),1.08,Para,0,-10
2021-06-15, Centurion Mk. 10,k,IS-4M,.2,Diag,0,0
2021-06-15, Centurion Mk. 10,k,IS-3,.9,Diag,0,0
2021-06-15, Centurion Mk. 10,k,T-44,1,Diag,0,0
2021-06-11, Centurion Mk. 10,k Obj 268,1.64,Near-Para,0,0
2021-06-11, Centurion Mk. 10,kb,T-34-100,.26,Near-Perp,0,0
2021-06-11, Centurion Mk. 10,kb,T-54 (1949),~0.2,Near-Para,0,8
2021-06-11, Centurion Mk. 10,k,T-54 (1949),.59,Near-Para,-7,0
2021-06-11, Centurion Mk. 10,k,T-44,.71,Diag,11,0
2021-06-11, Centurion Mk. 10,kb,T-54 (1947),.05,Near-Perp,0,32
2021-06-11, Centurion Mk. 10,k,SU-100,1.7,Diag,11,0
2021-06-11, Centurion Mk. 10,k,T-54 (1949),.78,Near-Para,0,0
2021-06-11, Centurion Mk. 10,kb,T-54 (1949),.78,Diag,0,0
2021-06-11, Centurion Mk. 10,kb,IS-4M,.6,Diag,0,20
2021-06-11, Centurion Mk. 10,kb,T-44-100,.88,Near-Para,0,-7
2021-06-11, Centurion Mk. 10,k,T-54 (1947),.33,Near-Para,0,0
2021-06-11, Centurion Mk. 10,k,IS-3,.38,Diag,0,0
2021-06-11, Centurion Mk. 10,kb,Type 62,.33,Diag,0,-5
2021-06-11, Centurion Mk. 10,k,T-54 (1949),.4,Near-Perp,16,0
2021-06-11, Centurion Mk. 10,k,T-54 (1949),.45,Near-Para,0,0
2021-06-11, Centurion Mk. 10,kb,T-54 (1949),.2,Near-Perp,0,0
2021-06-09, Centurion Mk. 10,k,T-54 (1947),.54,Para,0,0
2021-06-09, Centurion Mk. 10,k,ZSu-57-2,.88,Diag,0,0
2021-06-09, Centurion Mk. 10,k,T-54 (1949),.67,Diag,-6,0
2021-06-09, Centurion Mk. 10,k,Type 62,.6,Diag,0,0
2021-06-09, Centurion Mk. 10,k,ASU-85,.76,Diag,0,0
2021-06-09, Centurion Mk. 10,k,Type 63,.06,Diag,3,0
2021-06-09, Centurion Mk. 10,k,M48 China,.1,Diag,0,0
2021-06-09, Centurion Mk. 10,kb,ZSU-37,.06,Diag,6,0
2021-06-09, Centurion Mk. 10,kb,WZ-350,.02,Diag,8,0
2021-06-07, Centurion Mk. 10,k,IS-6,1.87,DIag,20,0
2021-06-07, Centurion Mk. 10,k,T-44-100,.98,Near-Para,0,0
2021-06-07, Centurion Mk. 10,kb,SU-100P,.88,Near-Para,0,0
2021-06-07, Centurion Mk. 10,kb,T-54 (1947),.18,Near-Perp,0,0
2021-06-07, Centurion Mk. 10,k,T-54 (1947),.87,Near-Para,21,0
2021-06-07, Centurion Mk. 10,k,T-54 (1949),1.12,Near-Perp,0,0
2021-06-07, Centurion Mk. 10,k,PT-76B,1.05,Diag,0,0
2021-06-07, Centurion Mk. 10,kb,T-54 (1949),1.26,Diag,0,0
2021-06-07, Centurion Mk. 10,kb,IS-6,.43,Diag,0,-8
2021-06-07, Centurion Mk. 10,kb,T-44-100,.53,Diag,0,0
2021-06-07, Centurion Mk. 10,kb,IS-6,.06,Diag,0,0
2021-06-03, Centurion Mk. 10,k,T-54 (1947),.11,Para,0,0
2021-06-03, Centurion Mk. 10,k,Obj 268,.52,Near-Para,0,0
2021-06-03, Centurion Mk. 10,kb IS-4M,.06,Diag,0,0
2021-06-03, Centurion Mk. 10,k,T-54 (1949),.17,Diag,-7,0
2021-06-03, Centurion Mk. 10,k,T-54 (1949),.23,Diag,0,0
2021-06-03, Centurion Mk. 10,k,IS-3,.08,Diag,0,0
2021-05-26, Centurion Mk. 10,k,SU-100P,.01,Perp,0,0
2021-05-26, Centurion Mk. 10,kb,IS-6,.03,Diag,0,0
2021-05-26, Centurion Mk. 10,k,T-54 (1949),.02,Diag,0,0
2021-05-26, Centurion Mk. 10,k,T-54 (1949),.55,Diag,0,0
2021-05-26, Centurion Mk. 10,kb,T-54 (1947),.75,Diag,0,-5
2021-05-26, Centurion Mk. 10,kb,T-54 (1949),.65,Diag,0,0
2021-05-26, Centurion Mk. 10,k,T-54 (1949),.5,Diag,15,0
2021-05-26, Centurion Mk. 10,kb,T-54 (1949),.6,Diag,0,0
2021-05-22, Centurion Mk. 10,k,IS-4M,.86,Diag,0,0
2021-05-22, Centurion Mk. 10,k,T-44-122,.3,Diag,15,0
2021-05-22, Centurion Mk. 10,k,IS-3,.71,Near-Perp,0,0
2021-05-22, Centurion Mk. 10,kb,T-54 (1947),0.04,Diag,0,0
2021-05-22, Centurion Mk. 10,k,IS-3,Diag,.12,0,7
2021-05-22, Centurion Mk. 10,k,T-54 (1949),1.79,Diag,-5,0
2021-05-22, Centurion Mk. 10,k,IS-3,.02,Diag,10,0
2021-05-22, Centurion Mk. 10,k,T-54 (1947),.13,Near-Perp,-7,15
2021-05-22, Centurion Mk. 10,k,T-54 (1949),.31,Para,38,0
2021-05-22, Centurion Mk. 10,k,ASU-85,.84,Diag,0,0
2021-05-22, Centurion Mk. 10,k,ASU-85,.83,Para,0,0
2021-05-22, Centurion Mk. 10,k,T-54 (1947),.86,Para,0,0
2021-05-22, Centurion Mk. 10,k,T-44,.03,Diag,10,0
2021-05-22, Centurion Mk. 10,k,SU-100P,0.02,Near-Perp,0,0
2021-05-22, Centurion Mk. 10,kb,ASU-85,.04,Diag,0,7
2021-05-22, Centurion Mk. 10,kb,T-54 (1947),.02,Diag,0,20
2021-05-18, Centurion Mk. 10,kb,T-54 (1949),.01,Diag,0,0
2021-05-18, Centurion Mk. 10,k,T-44-100,.6,Near-Para,0,0
2021-05-18, Centurion Mk. 10,kb,T-54 (1949),.9,Diag,0,0
2021-05-18, Centurion Mk. 10,kb,IS-4M,.5,Diag,0,0
2021-05-18, Centurion Mk. 10,k,T-54 (1949),.99,Diag,0,0
2021-05-18, Centurion Mk. 10,kb,T-54 (1949),.2,Near-Para,0,0
2021-05-18, Centurion Mk. 10,kb,T-54 (1947),.2,Diag,0,0
2021-05-18, Centurion Mk. 10,k,ASU-85,.2,Diag,0,0
2021-05-14, Centurion Mk. 10,kb,T-54 (1947),.04,Near-Perp,0,0
2021-05-14, Centurion Mk. 10,k,T-54 (1949),1.15,Diag,0,0
2021-05-14, Centurion Mk. 10,k,T-54 (1949),1.61,Para,0,0
2021-05-14, Centurion Mk. 10,k,IS-6,.7,Near-Para,0,0
2021-05-14, Centurion Mk. 10,k,T-44-100,.1,Near-Para,13,0
2021-05-14, Centurion Mk. 10,k,IS-4M,.1,Para,0,0
2021-05-14, Centurion Mk. 10,k,ASU-85,1.6,Near-Para,0,0
2021-05-14, Centurion Mk. 10,k,T-44-100,1.28,Diag,0,0
2021-05-14, Centurion Mk. 10,k,T-54 (1947),1.56,Diag,0,0
2021-05-14, Centurion Mk. 10,k,T-54 (1949),0.04,Perp,15,0
2021-05-14, Centurion Mk. 10,kb,T-54 (1949),0.03,Diag,0,0
2021-05-14, Centurion Mk. 10,k,T-54 (1949),.36,Diag,0,0
2021-05-14, Centurion Mk. 10,k,T-54 (1947),.03,Diag,0,0
2021-05-14, Centurion Mk. 10,kb,T-54 (1947),.6,Diag,0,0
2021-05-10, Centurion Mk. 10,k,T-54 (1949),.97,Near-Perp,28,0
2021-05-10, Centurion Mk. 10,k,T-54 (1949),.97,Perp,32,0
2021-05-10, Centurion Mk. 10,k,T-44-100,.33,Perp,30,0
2021-05-10, Centurion Mk. 10,k,T-54 (1947),1.04,Para,0.0,0.0
2021-05-10, Centurion Mk. 10,k,T-54 (1949),1.6,Para,0,0
2021-05-10, Centurion Mk. 10,k,T-44-100,1.02,Diag,23,0
2021-05-10, Centurion Mk. 10,k,IS-3,1.14,Near-Para,0,0
2021-05-10, Centurion Mk. 10,k,IS-3,.6,Near-Para,0,0
2021-05-10, Centurion Mk. 10,k,T-44-122,.58,Diag,11,0
2021-05-10, Centurion Mk. 10,k,T-44-100,.59,Near-Perp,0,-11
2021-05-10, Centurion Mk. 10,k,IS-3,0.795,Diag,2.0,0.0
2021-05-10, Centurion Mk. 10,k,T-54 (1947),.42,Near-Para,2.5,0.0
2021-05-10, Centurion Mk. 10,k,T-54 (1949),1.91,Diag,0,0
2021-05-10, Centurion Mk. 10,kb,SU-100P,.2,Diag,0,0
2021-05-10, Centurion Mk. 10,kb,T-54 (1947),1.27,Diag,0,0
2021-05-10, Centurion Mk. 10,k,T-44-100,.69,Diag,16,0
2021-05-10, Centurion Mk. 10,kb,T-54 (1947),.18,Near-Perp,0,0
2021-05-10, Centurion Mk. 10,kb,IS-4M,.03,Diag,0,0
2021-04-28, Centurion Mk. 10,k,IS-4M,1.1,Near-Para,0,0
2021-04-28, Centurion Mk. 10,k,T-54 (1949),1.67,Near-Perp,0,0
2021-04-28, Centurion Mk. 10,k,IS-4M,1.46,Diag,0,0
2021-04-28, Centurion Mk. 10,k,T-54 (1947),1.03,Diag,0,0
2021-04-28, Centurion Mk. 10,k,T-54 (1949),.89,Diag,0,0
2021-04-28, Centurion Mk. 10,k,IS-3,.95,Diag,0,0
2021-04-28, Centurion Mk. 10,k,T-44-100,.72,Near-Para,0,0
2021-04-28, Centurion Mk. 10,k,T-54 (1947),0.51,Near-Perp,11.0,0.5
2021-04-28, Centurion Mk. 10,k,SU-100P,.50,Para,0,0
2021-04-28, Centurion Mk. 10,k,ZSU-37,0.56,Diag,12.5,5.5
2021-04-28, Centurion Mk. 10,k,IS-4M,0.43,Diag,1.0,0.0
2021-04-28, Centurion Mk. 10,k,T-44-100,.8,Near-perp,10,0
2021-04-28, Centurion Mk. 10,kb,SU-100P,.04,Diag,0,0
2021-04-28, Centurion Mk. 10,kb,IS-4M,0.02,Diag,0,0
2021-04-24, Centurion Mk. 10,k,T-54 (1949),1.62,Near-Para,0,0
2021-04-24, Centurion Mk. 10,k,T-54 (1947),1.82,Near-Perp,-3.5,0.0
2021-04-24, Centurion Mk. 10,kb,T-54 (1949),.01,Diag,0,7
2021-04-24, Centurion Mk. 10,k,T-54 (1949),1.1,Near-Para,0,0
2021-04-24, Centurion Mk. 10,k,T-54 (1947),1.0350000000000001,Diag,5.0,0.0
2021-04-24, Centurion Mk. 10,k,T-54 (1949),1.3,Diag,0,0
2021-04-24, Centurion Mk. 10,k,IS-6,.34,Diag,0,0
2021-04-24, Centurion Mk. 10,k,T-54 (1947),1.15,Diag,0,0
2021-04-24, Centurion Mk. 10,k,IS-4M,.52,Diag,0,0
2021-04-24, Centurion Mk. 10,kb,T-54 (1949),.81,Diag,0,15
2021-04-24, Centurion Mk. 10,k,IS-3,.09,Para,15,10
2021-04-24, Centurion Mk. 10,kb,T-54 (1947),.18,Diag,-3,0
2021-04-24, Centurion Mk. 10,k,IS-6,.55,Diag,1,0
2021-04-24, Centurion Mk. 10,k,T-54 (1947),0.58,Near-Perp,5.5,0.0
2021-04-24, Centurion Mk. 10,k,T-54 (1949),.64,Para,0,0
2021-04-24, Centurion Mk. 10,kb,T-54 (1949),.45,Diag,6,0
2021-04-20, Centurion Mk. 10,k,Obj 268,.6,Diag,-1,0
2021-04-20, Centurion Mk. 10,k,ASU-85,.99,Diag,0,0
2021-04-20, Centurion Mk. 10,kb,IS-4M,.80,Diag,0,0
2021-04-20, Centurion Mk. 10,k,T-44-100,1.13,Near-Para,11.0,0.0
2021-04-20, Centurion Mk. 10,k,-54 (1947),0.72,Diag,14.0,0.0
2021-04-16, Centurion Mk. 10,k,T-54 (1947),.77,Diag,0,0
2021-04-16, Centurion Mk. 10,k,T-54 (1947),.94,Diag,15,0
2021-04-16, Centurion Mk. 10,k,T-54 (1949),1.08,Diag,0,0
2021-04-16, Centurion Mk. 10,kb,T-54 (1949),.33,Diag,0,15
2021-04-16, Centurion Mk. 10,k,T-54 (1949),.99,Diag,0,0
2021-04-16, Centurion Mk. 10,kb,T-54 (1949),.25,Diag,0,5
2021-04-16, Centurion Mk. 10,k,IS-4M,0.82,Perp,11.0,0.0
2021-04-16, Centurion Mk. 10,k,IS-6,.44,Near-Para,0,0
2021-04-16, Centurion Mk. 10,k,ZSU-37,.2,Diag,0,0
2021-04-16, Centurion Mk. 10,k,IS-6,0.9,Near-Perp,9.0,0.0
2021-04-16, Centurion Mk. 10,kb,T-54 (1949),.08,Diag,0,0
2021-04-12, Centurion Mk. 10,k,T-54 (1949),1.89,Diag,16.0,4.0
2021-04-12, Centurion Mk. 10,k,T-54 (1949),1.32,Diag,0,0
2021-04-12, Centurion Mk. 10,kb,T-44-100,.8,Diag,0,11
2021-04-12, Centurion Mk. 10,K,T-54 (1949),.55,Perp,0,0
2021-04-12, Centurion Mk. 10,k,T-54 (1947),.96,Diag,22,0
2021-04-12, Centurion Mk. 10,kb,IS-4M,1.29,Near-Perp,18,0
2021-04-12, Centurion Mk. 10,kb,T-44-100,1.25,Diag,0,0
2021-04-12, Centurion Mk. 10,kb,T-54 (1947),.08,Diag,0,0
2021-04-12, Centurion Mk. 10,kb,Type 62,.15,Diag,18,-1
2021-04-12, Centurion Mk. 10,kb,IS-6,.14,Diag,12,0
2021-04-12, Centurion Mk. 10,k,ASU-85,.77,Para,0,0
2021-04-12, Centurion Mk. 10,k,T-54 (1949),.45,Diag,7,0
2021-04-12, Centurion Mk. 10,k,T-54 (1949),.2,Diag,8,0
2021-04-12, Centurion Mk. 10,k,IS-3,1.75,Diag,0,0
2021-04-12, Centurion Mk. 10,k,Type 62,1.05,Near-Para,0,0
2021-04-12, Centurion Mk. 10,k,T-54 (1947),1.08,Diag,0,0
2021-04-08, Centurion Mk. 10,k,T-54 (1947),1.1,Near-Para,11,0
2021-04-08, Centurion Mk. 10,kb,T-54 (1949),.09,Diag,0,-11
2021-04-08, Centurion Mk. 10,kb,T-54 (1947),.5,Diag,0,0
2021-04-08, Centurion Mk. 10,k,IS-4M,0.34,Diag,0,0
2021-04-08, Centurion Mk. 10,k,IS-3,.22,Diag,0,0
2021-04-08, Centurion Mk. 10,k,T-44-100,.8,Diag,0,0
2021-04-08, Centurion Mk. 10,k,SU-100P,.24,Diag,0,0
2021-04-08, Centurion Mk. 10,k,ZSU-37,0.2,Perp,9,0
2021-04-08, Centurion Mk. 10,k,IS-6,0.29000000000000004,Diag,-5.0,0.0
2021-04-08, Centurion Mk. 10,k,IS-6,.11,Diag,9,0
2021-04-08, Centurion Mk. 10,k,T-54 (1949),.28,Diag,0,0
2021-04-08, Centurion Mk. 10,kb,T-54 (1947),.15,Near-Para,0,0
2021-04-08, Centurion Mk. 10,kb,T-54 (1949),.02,Diag,0,0
2021-04-08, Centurion Mk. 10,kb,T-54 (1949),.02,Diag,0,0
2021-04-03, Centurion Mk. 10,k,T-54 (1947),.57,Perp,29,7
2021-04-03, Centurion Mk. 10,kb,T-54 (1947),.64,Diag,0,0
2021-04-03, Centurion Mk. 10,k,IS-4M,.23,Diag,0,0
2021-04-03, Centurion Mk. 10,k,T-54 (1949),.40,Diag,-10,0
2021-04-03, Centurion Mk. 10,k,T-54 (1949),.95,Near-Perp,34,0
2021-04-03, Centurion Mk. 10,kb,T-54 (1949),.12,Near-Para,0,-3
2021-04-03, Centurion Mk. 10,k,Obj 268,1.23,Diag,0,0
2021-04-03, Centurion Mk. 10,kb,IS-4M,1.25,Diag,0,-3
2021-04-03, Centurion Mk. 10,k,T-54 (1947),.71,Near-Perp,23,0
2021-04-03, Centurion Mk. 10,k,Type 62,.46,Diag,0,0
2021-04-03, Centurion Mk. 10,k,Obj 268,.8,Para,0,0
2021-04-03, Centurion Mk. 10,kb,T-54 (1949),0.255,diag,0.0,14.5
2021-04-03, Centurion Mk. 10,kb,IS-4M,.07,Diag,-7,20
2021-04-03, Centurion Mk. 10,kb,T-54 (1947),1.07,Near-Para,0,0
2021-04-03, Centurion Mk. 10,k,T-54 (1949),1.7850000000000001,Near-Para,-3.5,0.0
2021-03-31, Centurion Mk. 10,k,T-44-100,1.3,Diag,0,0
2021-03-31, Centurion Mk. 10,k,T-44-100,1,Diag,0,0
2021-03-31, Centurion Mk. 10,k,IS-4M,1,Perp,0,0
